会社名,業種,職種,地域,年間休日,待遇・福利厚生,学歴
日糧製パン（株）,メーカー,製造・営業,北海道,108日,,高専・専門・短大以上
one net,サービス,営業・企画,北海道,125日,,高専・専門・短大以上
（株）パワーステーション,サービス,営業,北海道,120日,,高専・専門・短大以上
みちのくジャパン,サービス,営業,東北,108日,各種社会保険・財型貯蓄・社員持株会・独身寮・リゾートホテル利用制度など,高専・専門・短大以上
ニダック精密（株）,製造,エンジニア,東北,114日,,高専・専門・短大以上
（株）光合金製作所,メーカー,エンジニア,東北,120日,テレワーク,専門・短大以上
アイスター(株),メーカー,エンジニア,近畿,120日,,大学院・大学・専門
(株)マルハン,サービス,営業・企画,近畿,120日,,大学院・大学・専門・短大
ミズノ(株),メーカー,営業・企画,近畿,120日,確定拠出年金・持株会・財形貯蓄・自社商品購入割引・育休・独身寮など,大学院・大学
（株）山王,製造,エンジニア,関東,120日,,高専・専門・短大以上
（株）ベネッセi,サービス,営業,関東,120日,,高専・専門・短大以上
（株）松村電機製作所,メーカー,営業・エンジニア,関東,124日,,
伊勢久(株),メーカー,営業,中部,120日,,大学院・大学・専門・短大
マルサンアイ(株),メーカー,営業・企画,中部,120日,,大学院・大学
MANGO(株),サービス,営業,九州,125日以上,社会保険完備,大学院・大学
