会社名,業種,職種,地域,年間休日,待遇・福利厚生,学歴
日糧製パン（株）,メーカー,製造・営業,北海道,108日,育休・入社時転居補助手当・社会保険完備・社内預金・持家・退職金・財型など,高専・専門・短大以上
one net,サービス,営業・企画,北海道,125日,社会保険完備・原則残業なし・コーヒー、お菓子無料・資格取得補助など,高専・専門・短大以上
（株）パワーステーション,サービス,営業,北海道,120日,社員食堂あり・定期健康診断・育休・介護休業など,高専・専門・短大以上
みちのくジャパン,サービス,営業,東北,108日,各種社会保険・財型貯蓄・社員持株会・独身寮・リゾートホテル利用制度など,高専・専門・短大以上
ニダック精密（株）,製造,エンジニア,東北,114日,社会保険完備・退職金、育児介護休暇制度あり・独身寮など,高専・専門・短大以上
（株）光合金製作所,メーカー,エンジニア,東北,120日,社会保険完備・定期健診・社宅、家賃補助制度あり・クラブなど,専門・短大以上
アイスター(株),メーカー,エンジニア,近畿,120日,,大学院・大学・専門
(株)マルハン,サービス,営業・企画,近畿,120日,資格所得支援・時短勤務・産休・育児休暇・社宅・家賃補助など,大学院・大学・専門・短大
ミズノ(株),メーカー,営業・企画,近畿,120日,確定拠出年金・持株会・財形貯蓄・自社商品購入割引・育休・独身寮など,大学院・大学
（株）山王,製造,エンジニア,関東,120日,財型貯蓄、社員持株制度・定期健康診断・各種社会保険など,高専・専門・短大以上
（株）ベネッセi,サービス,営業,関東,120日,資格取得支援制度あり・独立、起業支援制度ありなど,高専・専門・短大以上
（株）松村電機製作所,メーカー,営業・エンジニア,関東,124日,各種社会保険完備・退職金制度など,
(株)一条工務店,メーカー,営業・企画,中部,120日,資格所得支援・時短勤務・産休・育児休暇・社宅・家賃補助など,大学院・大学・高専・専門
伊勢久(株),メーカー,営業,中部,120日,資格取得支援・時短勤務・産休・育児休暇・社宅・家賃補助など,大学院・大学・専門・短大
マルサンアイ(株),メーカー,営業・企画,中部,120日,時短勤務・産休・育児休暇・社宅・家賃補助など,大学院・大学
MANGO(株),サービス,営業,九州・沖縄,125日以上,社会保険完備,大学院・大学
(株)三脇デリカ,メーカー,企画・エンジニア,九州・沖縄,120日,社会保険完備・資格取得支援制度・産休・育児休暇,大学院・大学
日本エネルギー総合システム（株）,メーカー,営業,四国,102日,社会保険完備・資格取得支援制度・産休・育児休暇,大学院・大学・短大・高専・専門
四国旅客鉄道(株),サービス,営業・企画,四国,120日,資格所得支援・時短勤務・産休・育児休暇・社宅・家賃補助など,大学院・大学・専門・短大
